link,headline,category
https://www.huffpost.com/entry/covid-boosters-uptake-us_n_632d719ee4b087fae6feaac9,"Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters","U.S. NEWS"
https://www.huffpost.com/entry/american-airlines-passenger-banned-flight-attendant-punch-justice-department_n_632e25d3e4b0e247890329fe,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video","U.S. NEWS"
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02,"23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23)","COMEDY"
https://www.huffpost.com/entry/funniest-parenting-tweets_l_632d7d15e4b0d12b5403e479,"The Funniest Tweets From Parents This Week (Sept. 17-23)","PARENTING"
https://www.huffpost.com/entry/amy-cooper-loses-discrimination-lawsuit-franklin-templeton_n_632c6463e4b09d8701bd227e,"Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer","U.S. NEWS"
https://www.huffpost.com/entry/belk-worker-found-dead-columbiana-centre-bathroom_n_632c5f8ce4b0572027b0251d,"Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police","U.S. NEWS"
https://www.huffpost.com/entry/reporter-gets-adorable-surprise-from-her-boyfriend-while-working-live-on-tv_n_632ccf43e4b0572027b10d74,"Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV","U.S. NEWS"
https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13,"Puerto Ricans Desperate For Water After Hurricane Fionaâ€™s Rampage","WORLD NEWS"
https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda,"How A New Documentary Captures The Complexity Of Being A Child Of Immigrants","CULTURE & ARTS"
https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7,"Biden At UN To Call Russian War An Affront To Body's Charter","WORLD NEWS"
https://www.huffpost.com/entry/bc-soc-wcup-captains-armbands_n_632b1c98e4b0913a3dd7554a,"World Cup Captains Want To Wear Rainbow Armbands In Qatar","WORLD NEWS"
https://www.huffpost.com/entry/man-sets-fire-protest-abe-funeral_n_632ae462e4b07198f0146afd,"Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe","WORLD NEWS"
https://www.huffpost.com/entry/fiona-threatens-to-become-category-4-storm-headed-to-bermuda_n_632ad1cae4b07198f0143244,"Fiona Threatens To Become Category 4 Storm Headed To Bermuda","WORLD NEWS"
https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20,"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000","TECH"
